stem,term_id,n_tokens,n_docs,pos_mode,pos_coarse,example_word,tf,df,idf,tfidf_mean,tfidf_sum,tfidf_median,tfidf_max
zeal,4265,10,3,NN,NOUN,zeal,2.930334233922721e-05,3,0.12493873660829993,3.719572609708272e-06,1.1158717829124816e-05,4.762401145377822e-06,5.239455106603899e-06
christ,4266,10,4,NNP,NOUN,Christ,2.930334233922721e-05,4,0.0,,0.0,,0.0
dam,4267,10,4,NN,NOUN,dam,2.930334233922721e-05,4,0.0,,0.0,,0.0
bellonet,4268,10,1,NNP,NOUN,Bellonet,2.930334233922721e-05,1,0.6020599913279624,4.5898514265846555e-05,4.5898514265846555e-05,4.5898514265846555e-05,4.5898514265846555e-05
uneasi,4269,10,3,NN,NOUN,uneasiness,2.930334233922721e-05,3,0.12493873660829993,4.0490703786826796e-06,1.2147211136048038e-05,3.896177896538496e-06,6.941169462858567e-06
debas,4270,10,3,JJ,ADJ,debased,2.930334233922721e-05,3,0.12493873660829993,4.232234324793922e-06,1.2696702974381766e-05,5.1949038620513275e-06,6.549318883254874e-06
uniformli,4271,10,2,RB,ADV,uniformly,2.930334233922721e-05,2,0.3010299956639812,1.522709537083798e-05,3.045419074167596e-05,1.522709537083798e-05,2.2092091563988008e-05
cheap,4272,10,3,JJ,ADJ,cheap,2.930334233922721e-05,3,0.12493873660829993,4.1093938718894035e-06,1.2328181615668211e-05,3.929591329952925e-06,6.4936298275641585e-06
fatigu,4273,10,4,NN,NOUN,fatigue,2.930334233922721e-05,4,0.0,,0.0,,0.0
dwarf,4274,10,3,NN,NOUN,dwarf,2.930334233922721e-05,3,0.12493873660829993,4.166383176773771e-06,1.2499149530321314e-05,1.1568615771430947e-06,1.0389807724102655e-05
tint,4275,10,2,NNS,NOUN,tints,2.930334233922721e-05,2,0.3010299956639812,1.2726006105981175e-05,2.545201221196235e-05,1.2726006105981175e-05,1.6064479993046294e-05
sub,4276,10,3,JJ,ADJ,sub,2.930334233922721e-05,3,0.12493873660829993,4.120531683027548e-06,1.2361595049082642e-05,2.5974519310256637e-06,7.85918265990585e-06
